,Title : ,Subtitles: 
39,WINNER WINNER,"Enter for chance to win Audi RS5 + £1,000 from just 71p with The Sun's code"
40,BET BOOST,William Hill - football free bets: Claim £30 welcome bonus when you stake £10
41,FAB THIRTY,Get £30 football FREE BETS when you stake £10 with Betfair - 18+ T&Cs apply
42,WANDA BRA,Wanda cheekily edits boob pic to avoid ban as Icardi 'closes on Utd move'
43,FREE PUNT,How to get a completely FREE £5 bet on the Premier League this weekend
44,HAD JESS ABOUT ENOUGH,Lingard hits back over Forest transfer after Carra and Neville jibes
45,NOW IS DE TIME,De Jong 'tells dressing room he could join Utd' & is 'very angry' with Barca
46,FERGIE TIME,Alex Ferguson QUIT as Man Utd boss days before Treble season in huge board row
47,THREE MOVEMENT,"Nottingham Forest set to complete Dennis, Kouyate and Freuler transfers"
48,DOM DEAL,Tottenham flop Tanguy Ndombele agrees loan transfer to Napoli with option to buy
49,NOT TOO KEANE,Sheringham reveals booze-fuelled row with Roy Keane on Man Utd night out
50,MARK MY WORDS,Marko Arnautovic breaks silence after Man Utd withdraw transfer interest
51,LOONEY TOONS,Newcastle fans hijack Burger King poll... and fans are saying the same thing
52,VERY OLD TRAFFORD,Neville says Man Utd need £1BN to rebuild stadium in Glazer rant
53,NEV-ER GOING,Wolves to break bank with £100k-a-week deal to keep Utd & Arsenal target Neves
54,KEEP GOING,Watch QPR score dramatic injury-time equaliser as GOALKEEPER Dieng heads home
55,DEJA LU,Watch Lukaku net 81 seconds into Inter return as loan star puts Chelsea woe in past
56,OVER TO ROO,DC United fail to score in third game as Rooney desperate to seal Benteke move
57,MESSI BUSINESS,Xavi 'asks for Barcelona to re-sign Messi in shock transfer return from PSG'
58,OH DEAR COLOGNE,Watch Chelsea flop Werner net on Leipzig return thanks to keeper howler
59,ON FIOR,Leeds winger Jack Harrison's girlfriend Fiorella stuns in a skimpy mesh bikini
60,LOVE CONQUERS BALL,Arsenal fans in hysterics after thinking Xhaka had joined Love Island
61,TOP MARCS,"Meet Chelsea signing Cucurella's stunning Wag Claudia, who is a fashion designer"
62,TROY DEENEY,Lingard played a blinder with Forest & he'll ignore jibes and let his feet talk
63,MARK IRWIN,Klopp reeling off excuses.. but maybe he realises his squad haven't got the legs
64,KARREN BRADY,Barca living in Never-Never Land as financial chaos sends rep down the pan
65,ZLAT PLAIT,Ibrahimovic shows off new hairstyle with plaited ponytail half-way down his back
66,STAY TOONED,Amazon trying to convince Newcastle to feature in next All or Nothing series
67,'LIFE GOAL',England's Euro 2022 star Lauren Hemp makes cameo in Hollyoaks in first look
68,JESSE'S NEW ROLE,Lingard wants to be an ACTOR as he gets set for Forest home debut
69,DOMINATED,Arsenal star 'dressed up as woman in sexy lingerie in Babestation video call'
70,STICK AT IT,Dream Team offering monthly prizes this season - starting with a PS5 in August!
71,QUICK FIX,3 transfer suggestions for Dream Team gaffers who got it wrong in Game Week 1
72,DREAM ON,"I won £15,000 after coming second on Dream Team... here's my tips for this season"
